link_id,tmc_corridor_name,tmc_road_sequence,tmc,link_type_name,from_node_id,to_node_id,geometry,link_type_code,FT,AT,nlanes,link_distance_VDF,free_speed,capacity,k_critical,v_congestion_cutoff,AM_Volume,AM_speed_BPR,AM_speed_QVDF, AM_t0,AM_t3,AM_P, AM_D,AM_DC_ratio,AM_mu,AM_gamma,MD_Volume,MD_speed_BPR,MD_speed_QVDF, MD_t0,MD_t3,MD_P, MD_D,MD_DC_ratio,MD_mu,MD_gamma,PM_Volume,PM_speed_BPR,PM_speed_QVDF, PM_t0,PM_t3,PM_P, PM_D,PM_DC_ratio,PM_mu,PM_gamma,vh06,vh07,vh08,vh09,vh10,vh11,vh12,vh13,vh14,vh15,vh16,vh17,vh18,vh19,vrh06,vrh07,vrh08,vrh09,vrh10,vrh11,vrh12,vrh13,vrh14,vrh15,vrh16,vrh17,vrh18,vrh19,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,vr06:00,vr06:15,vr06:30,vr06:45,vr07:00,vr07:15,vr07:30,vr07:45,vr08:00,vr08:15,vr08:30,vr08:45,vr09:00,vr09:15,vr09:30,vr09:45,vr10:00,vr10:15,vr10:30,vr10:45,vr11:00,vr11:15,vr11:30,vr11:45,vr12:00,vr12:15,vr12:30,vr12:45,vr13:00,vr13:15,vr13:30,vr13:45,vr14:00,vr14:15,vr14:30,vr14:45,vr15:00,vr15:15,vr15:30,vr15:45,vr16:00,vr16:15,vr16:30,vr16:45,vr17:00,vr17:15,vr17:30,vr17:45,vr18:00,vr18:15,vr18:30,vr18:45,vr19:00,vr19:15,vr19:30,vr19:45,
115N04380,AZ-101-LOOP,1,115N04380,,10,11,"",,1,1,0,0.716301,70.213104,1800.000000,45.000000,49.149174,3470.414062,22.850977,57.004435, 7.810515,8.189485,0.378970, 1412.289336,0.784605,1800.000000,34653.450725,3470.414062,22.850977,57.004435, 7.810515,8.189485,0.378970, 1412.289336,0.784605,1800.000000,34653.450725,3470.414062,22.850977,57.004435, 7.810515,8.189485,0.378970, 1412.289336,0.784605,1800.000000,34653.450725,60.000,63.701,61.925,60.851,70.213,70.213,70.213,70.213,60.851,70.213,70.213,70.213,70.213,60.851,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,70.213,66.139,62.065,57.991,48.907,57.991,62.065,66.139,70.213,60.000,60.000,60.000,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,60.000,60.000,60.000,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,70.213,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.995,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115+04136,AZ-101-LOOP,1,115+04136,,12,13,"",,1,1,0,0.223073,71.097458,1800.000000,45.000000,49.768219,2003.244873,57.797595,69.934283, 7.986399,8.013601,0.027203, 731.012398,0.406118,0.000000,0.000000,2003.244873,57.797595,69.934283, 7.986399,8.013601,0.027203, 731.012398,0.406118,0.000000,0.000000,2003.244873,57.797595,69.934283, 7.986399,8.013601,0.027203, 731.012398,0.406118,0.000000,0.000000,60.000,70.557,70.557,60.925,71.097,71.097,71.097,71.097,60.925,71.097,71.097,71.097,71.097,60.925,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,71.097,70.803,70.508,70.213,71.097,70.213,70.508,70.803,71.097,60.000,60.000,60.000,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,60.000,60.000,60.000,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,71.097,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115N04374,AZ-101-LOOP,1,115N04374,,14,15,"",,1,1,0,0.215066,58.640198,1800.000000,45.000000,41.048138,4977.461426,6.001655,47.422673, 7.806565,8.193435,0.386870, 1419.592914,0.788663,1800.000000,38258.953719,4977.461426,6.001655,47.422673, 7.806565,8.193435,0.386870, 1419.592914,0.788663,1800.000000,38258.953719,4977.461426,6.001655,47.422673, 7.806565,8.193435,0.386870, 1419.592914,0.788663,1800.000000,38258.953719,60.000,53.060,51.576,59.887,58.640,58.640,58.640,58.640,59.887,58.640,58.640,58.640,58.640,59.887,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,58.640,55.163,51.686,48.209,40.829,48.209,51.686,55.163,58.640,60.000,60.000,60.000,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,60.000,60.000,60.000,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,58.640,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.995,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115+04378,AZ-101-LOOP,1,115+04378,,16,17,"",,1,1,0,0.402386,71.379906,1800.000000,45.000000,49.965935,1741.708130,63.084706,70.909825, 7.994579,8.005421,0.010842, 580.834846,0.322686,0.000000,0.000000,1741.708130,63.084706,70.909825, 7.994579,8.005421,0.010842, 580.834846,0.322686,0.000000,0.000000,1741.708130,63.084706,70.909825, 7.994579,8.005421,0.010842, 580.834846,0.322686,0.000000,0.000000,60.000,71.163,71.163,60.948,71.380,71.380,71.380,71.380,60.948,71.380,71.380,71.380,71.380,60.948,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,71.380,71.262,71.144,71.025,71.380,71.025,71.144,71.262,71.380,60.000,60.000,60.000,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,60.000,60.000,60.000,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,71.380,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115+04379,AZ-101-LOOP,1,115+04379,,18,19,"",,1,1,0,1.376025,71.508987,1800.000000,45.000000,50.056290,1681.899536,64.171557,71.118498, 7.995510,8.004490,0.008980, 554.105781,0.307837,0.000000,0.000000,1681.899536,64.171557,71.118498, 7.995510,8.004490,0.008980, 554.105781,0.307837,0.000000,0.000000,1681.899536,64.171557,71.118498, 7.995510,8.004490,0.008980, 554.105781,0.307837,0.000000,0.000000,60.000,71.329,71.329,60.959,71.509,71.509,71.509,71.509,60.959,71.509,71.509,71.509,71.509,60.959,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,71.509,71.411,71.313,71.215,71.509,71.215,71.313,71.411,71.509,60.000,60.000,60.000,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,60.000,60.000,60.000,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,71.509,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115N04373,AZ-101-LOOP,1,115N04373,,20,21,"",,1,1,0,0.810572,73.330978,1800.000000,45.000000,51.331684,2501.837402,47.012883,70.029187, 7.961444,8.038556,0.077112, 948.535721,0.526964,0.000000,0.000000,2501.837402,47.012883,70.029187, 7.961444,8.038556,0.077112, 948.535721,0.526964,0.000000,0.000000,2501.837402,47.012883,70.029187, 7.961444,8.038556,0.077112, 948.535721,0.526964,0.000000,0.000000,60.000,71.757,71.757,61.111,73.331,73.331,73.331,73.331,61.111,73.331,73.331,73.331,73.331,61.111,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,73.331,72.472,71.614,70.755,73.331,70.755,71.614,72.472,73.331,60.000,60.000,60.000,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,60.000,60.000,60.000,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,73.331,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115+04137,AZ-101-LOOP,1,115+04137,,22,23,"",,1,1,0,1.309938,72.326027,1800.000000,45.000000,50.628220,1672.776855,65.048398,71.848836, 7.994569,8.005431,0.010862, 581.104549,0.322836,0.000000,0.000000,1672.776855,65.048398,71.848836, 7.994569,8.005431,0.010862, 581.104549,0.322836,0.000000,0.000000,1672.776855,65.048398,71.848836, 7.994569,8.005431,0.010862, 581.104549,0.322836,0.000000,0.000000,60.000,72.106,72.106,61.027,72.326,72.326,72.326,72.326,61.027,72.326,72.326,72.326,72.326,61.027,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,72.326,72.206,72.086,71.966,72.326,71.966,72.086,72.206,72.326,60.000,60.000,60.000,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,60.000,60.000,60.000,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,72.326,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115N04372,AZ-101-LOOP,1,115N04372,,24,25,"",,1,1,0,0.585847,73.712074,1800.000000,45.000000,51.598457,2394.391357,50.155935,70.557573, 7.963440,8.036560,0.073121, 936.015144,0.520008,0.000000,0.000000,2394.391357,50.155935,70.557573, 7.963440,8.036560,0.073121, 936.015144,0.520008,0.000000,0.000000,2394.391357,50.155935,70.557573, 7.963440,8.036560,0.073121, 936.015144,0.520008,0.000000,0.000000,60.000,72.211,72.211,61.143,73.712,73.712,73.712,73.712,61.143,73.712,73.712,73.712,73.712,61.143,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,73.712,72.894,72.075,71.256,73.712,71.256,72.075,72.894,73.712,60.000,60.000,60.000,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,60.000,60.000,60.000,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,73.712,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115+04134,AZ-101-LOOP,1,115+04134,,26,27,"",,1,1,0,0.230589,70.881836,1800.000000,45.000000,49.617287,1799.342651,61.648119,70.325354, 7.993529,8.006471,0.012942, 607.114976,0.337286,0.000000,0.000000,1799.342651,61.648119,70.325354, 7.993529,8.006471,0.012942, 607.114976,0.337286,0.000000,0.000000,1799.342651,61.648119,70.325354, 7.993529,8.006471,0.012942, 607.114976,0.337286,0.000000,0.000000,60.000,70.625,70.625,60.907,70.882,70.882,70.882,70.882,60.907,70.882,70.882,70.882,70.882,60.907,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,70.882,70.742,70.602,70.462,70.882,70.462,70.602,70.742,70.882,60.000,60.000,60.000,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,60.000,60.000,60.000,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,70.882,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115+04376,AZ-101-LOOP,1,115+04376,,28,29,"",,1,1,0,1.204628,69.906372,1800.000000,45.000000,48.934460,2441.545166,46.364325,64.881712, 7.936670,8.063330,0.126660, 1073.821674,0.596568,0.000000,0.000000,2441.545166,46.364325,64.881712, 7.936670,8.063330,0.126660, 1073.821674,0.596568,0.000000,0.000000,2441.545166,46.364325,64.881712, 7.936670,8.063330,0.126660, 1073.821674,0.596568,0.000000,0.000000,60.000,67.448,67.448,60.826,69.906,69.906,69.906,69.906,60.826,69.906,69.906,69.906,69.906,60.826,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,69.906,68.565,67.224,65.883,69.906,65.883,67.224,68.565,69.906,60.000,60.000,60.000,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,60.000,60.000,60.000,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,69.906,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115+04377,AZ-101-LOOP,1,115+04377,,8,30,"",,1,1,0,0.826181,71.234474,1800.000000,45.000000,49.864132,2039.236450,57.120128,69.340317, 7.977661,8.022339,0.044677, 827.548861,0.459749,0.000000,0.000000,2039.236450,57.120128,69.340317, 7.977661,8.022339,0.044677, 827.548861,0.459749,0.000000,0.000000,2039.236450,57.120128,69.340317, 7.977661,8.022339,0.044677, 827.548861,0.459749,0.000000,0.000000,60.000,70.346,70.346,60.936,71.234,71.234,71.234,71.234,60.936,71.234,71.234,71.234,71.234,60.936,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,71.234,70.750,70.266,69.781,71.234,69.781,70.266,70.750,71.234,60.000,60.000,60.000,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,60.000,60.000,60.000,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,71.234,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115+04135,AZ-101-LOOP,1,115+04135,,31,32,"",,1,1,0,0.216796,71.603401,1800.000000,45.000000,50.122379,1920.329712,59.953573,70.741812, 7.990040,8.009960,0.019919, 676.226239,0.375681,0.000000,0.000000,1920.329712,59.953573,70.741812, 7.990040,8.009960,0.019919, 676.226239,0.375681,0.000000,0.000000,1920.329712,59.953573,70.741812, 7.990040,8.009960,0.019919, 676.226239,0.375681,0.000000,0.000000,60.000,71.205,71.205,60.967,71.603,71.603,71.603,71.603,60.967,71.603,71.603,71.603,71.603,60.967,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,71.603,71.386,71.168,70.951,71.603,70.951,71.168,71.386,71.603,60.000,60.000,60.000,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,60.000,60.000,60.000,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,71.603,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115N04136,AZ-101-LOOP,1,115N04136,,33,34,"",,1,1,0,0.731610,65.451118,1800.000000,45.000000,45.815784,4654.661133,8.491996,40.084953, 7.310562,8.689438,1.378875, 2327.330566,1.292961,1687.847174,471.550240,4654.661133,8.491996,40.084953, 7.310562,8.689438,1.378875, 2327.330566,1.292961,1687.847174,471.550240,4654.661133,8.491996,40.084953, 7.310562,8.689438,1.378875, 2327.330566,1.292961,1687.847174,471.550240,60.000,42.558,39.320,60.454,65.451,65.451,65.451,65.451,60.454,65.451,65.451,65.451,65.451,60.454,1.000,0.929,0.858,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,65.451,49.645,39.413,29.647,26.591,29.647,39.413,49.645,65.451,60.000,60.000,60.000,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,60.000,60.000,60.000,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,65.451,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,0.860,0.647,0.580,0.647,0.860,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115N04378,AZ-101-LOOP,1,115N04378,,35,36,"",,1,1,0,0.748902,69.072746,1800.000000,45.000000,48.350922,4669.170410,8.865240,38.145205, 7.125000,8.875000,1.750000, 3266.409597,1.814672,1800.000000,127.438551,4669.170410,8.865240,38.145205, 7.125000,8.875000,1.750000, 3266.409597,1.814672,1800.000000,127.438551,4669.170410,8.865240,38.145205, 7.125000,8.875000,1.750000, 3266.409597,1.814672,1800.000000,127.438551,60.000,43.066,39.993,60.756,69.073,69.073,69.073,69.073,60.756,69.073,69.073,69.073,69.073,60.756,1.000,0.891,0.827,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,69.073,46.702,39.389,33.976,32.198,33.976,39.389,46.702,69.073,60.000,60.000,60.000,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,60.000,60.000,60.000,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,69.073,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,0.966,0.815,0.703,0.666,0.703,0.815,0.966,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115N04377,AZ-101-LOOP,1,115N04377,,37,38,"",,1,1,0,0.850539,66.164589,1800.000000,45.000000,46.315212,4258.795410,11.606710,41.016294, 7.383088,8.616912,1.233825, 2129.397705,1.182999,1725.850839,476.968365,4258.795410,11.606710,41.016294, 7.383088,8.616912,1.233825, 2129.397705,1.182999,1725.850839,476.968365,4258.795410,11.606710,41.016294, 7.383088,8.616912,1.233825, 2129.397705,1.182999,1725.850839,476.968365,60.000,46.340,43.463,60.514,66.165,66.165,66.165,66.165,60.514,66.165,66.165,66.165,66.165,60.514,1.000,1.000,0.938,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,66.165,53.211,43.919,34.988,31.647,34.988,43.919,53.211,66.165,60.000,60.000,60.000,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,60.000,60.000,60.000,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,66.165,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,0.948,0.755,0.683,0.755,0.948,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
115N04135,AZ-101-LOOP,1,115N04135,,39,40,"",,1,1,0,0.748918,67.233414,1800.000000,45.000000,47.063389,4865.343750,7.464795,39.795348, 7.360365,8.639635,1.279270, 2432.671875,1.351484,1800.000000,312.972510,4865.343750,7.464795,39.795348, 7.360365,8.639635,1.279270, 2432.671875,1.351484,1800.000000,312.972510,4865.343750,7.464795,39.795348, 7.360365,8.639635,1.279270, 2432.671875,1.351484,1800.000000,312.972510,60.000,47.699,45.018,60.603,67.233,67.233,67.233,67.233,60.603,67.233,67.233,67.233,67.233,60.603,1.000,1.000,0.957,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,60.000,60.000,60.000,67.233,53.241,44.745,37.777,35.058,37.777,44.745,53.241,67.233,60.000,60.000,60.000,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,60.000,60.000,60.000,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,67.233,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,0.951,0.803,0.745,0.803,0.951,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
